flight_id,route_key,airline_key,date_key,calculated_duration_mins,is_overnight,is_statistical_outlier,airline_source
SJ010,edec40d16277592f865f6f96d12c6237,fe10005e6631d2c82bc640a5b707027e,20260420,174.0,False,False,ORIGINAL
AI155,4c4c8887c010c37d7c415aee9e223b86,1d96baf00ff457518c392cdbc36d081e,20260420,108.0,False,False,ORIGINAL
UK094,4c4c8887c010c37d7c415aee9e223b86,d813685481e1e769c9968895601aa06a,20260420,105.0,False,False,ORIGINAL
AI245,4c4c8887c010c37d7c415aee9e223b86,1d96baf00ff457518c392cdbc36d081e,20260420,156.0,False,False,ORIGINAL
AI192,382e870b93a9172b725c021a093b911d,1d96baf00ff457518c392cdbc36d081e,20260420,299.0,False,False,ORIGINAL
SJ158,96cabcf3c0a98d19c08ef1c8eeba1154,fe10005e6631d2c82bc640a5b707027e,20260420,139.0,False,False,ORIGINAL
6F196,edec40d16277592f865f6f96d12c6237,143c0deac2b49915503dd16a9f5462ba,20260420,103.0,False,False,ORIGINAL
AI080,225fb0760ffcd1233b1e4a61a511e724,1d96baf00ff457518c392cdbc36d081e,20260420,92.0,False,False,ORIGINAL
6F025,adc4b4919d4f952851b45aa0ac117018,143c0deac2b49915503dd16a9f5462ba,20260420,55.0,False,False,ORIGINAL
6F251,cf98c283c13881769b3b684c7653eba9,143c0deac2b49915503dd16a9f5462ba,20260420,41.0,False,False,DERIVED
AI137,04f5fd88e0d3bf5692833a97649697b6,1d96baf00ff457518c392cdbc36d081e,20260420,148.0,False,False,ORIGINAL
6F026,4c4c8887c010c37d7c415aee9e223b86,143c0deac2b49915503dd16a9f5462ba,20260420,267.0,False,False,ORIGINAL
UK167,317ae26badc5745d08250ee7a733dd0c,d813685481e1e769c9968895601aa06a,20260420,181.0,False,False,ORIGINAL
UK027,4c4c8887c010c37d7c415aee9e223b86,d813685481e1e769c9968895601aa06a,20260420,141.0,False,False,ORIGINAL
AI069,dd9b7f73506b86ec79aa343e64a2fb35,1d96baf00ff457518c392cdbc36d081e,20260420,226.0,False,False,DERIVED
AI058,4c4c8887c010c37d7c415aee9e223b86,1d96baf00ff457518c392cdbc36d081e,20260420,98.0,False,False,ORIGINAL
AI140,04f5fd88e0d3bf5692833a97649697b6,1d96baf00ff457518c392cdbc36d081e,20260420,223.0,False,False,ORIGINAL
SJ239,4c4c8887c010c37d7c415aee9e223b86,fe10005e6631d2c82bc640a5b707027e,20260420,106.0,False,False,ORIGINAL
6F099,b6e2cc2aaf99f21f5582a5d4b9ae2a9f,143c0deac2b49915503dd16a9f5462ba,20260420,35.0,False,False,ORIGINAL
AI048,671c750b52cf4817ef2aa56f2ace75b0,1d96baf00ff457518c392cdbc36d081e,20260420,232.0,False,False,ORIGINAL
SJ112,bc77046451bd9d63487f804a25d5b6fc,fe10005e6631d2c82bc640a5b707027e,20260420,140.0,False,False,ORIGINAL
6F164,adc4b4919d4f952851b45aa0ac117018,143c0deac2b49915503dd16a9f5462ba,20260420,147.0,False,False,ORIGINAL
UK021,89b74decd3097ce93ec4cccfa8379efc,d813685481e1e769c9968895601aa06a,20260420,110.0,False,False,ORIGINAL
SJ172,671c750b52cf4817ef2aa56f2ace75b0,fe10005e6631d2c82bc640a5b707027e,20260420,196.0,False,False,ORIGINAL
AI060,96cabcf3c0a98d19c08ef1c8eeba1154,1d96baf00ff457518c392cdbc36d081e,20260420,113.0,False,False,ORIGINAL
SJ205,8a783a606a385b3bfe750ffd23c30c03,fe10005e6631d2c82bc640a5b707027e,20260420,64.0,False,False,ORIGINAL
SJ093,adc4b4919d4f952851b45aa0ac117018,fe10005e6631d2c82bc640a5b707027e,20260420,66.0,False,False,ORIGINAL
6F195,671c750b52cf4817ef2aa56f2ace75b0,143c0deac2b49915503dd16a9f5462ba,20260420,55.0,False,False,ORIGINAL
UK003,bc77046451bd9d63487f804a25d5b6fc,d813685481e1e769c9968895601aa06a,20260420,278.0,False,False,DERIVED
UK026,89b74decd3097ce93ec4cccfa8379efc,d813685481e1e769c9968895601aa06a,20260420,126.0,False,False,ORIGINAL
6F174,96cabcf3c0a98d19c08ef1c8eeba1154,143c0deac2b49915503dd16a9f5462ba,20260420,40.0,False,False,ORIGINAL
UK067,4c4c8887c010c37d7c415aee9e223b86,d813685481e1e769c9968895601aa06a,20260420,206.0,False,False,ORIGINAL
SJ149,89b74decd3097ce93ec4cccfa8379efc,fe10005e6631d2c82bc640a5b707027e,20260420,120.00496666666666,False,False,ORIGINAL
6F213,adc4b4919d4f952851b45aa0ac117018,143c0deac2b49915503dd16a9f5462ba,20260420,207.0,False,False,ORIGINAL
UK200,671c750b52cf4817ef2aa56f2ace75b0,d813685481e1e769c9968895601aa06a,20260420,111.0,False,False,ORIGINAL
SJ214,127ab6733de551c1aea35612b818c8d5,fe10005e6631d2c82bc640a5b707027e,20260420,76.0,False,False,ORIGINAL
SJ047,c9d4324c50c5e70095cd3e0446bcbd2d,fe10005e6631d2c82bc640a5b707027e,20260420,37.0,False,False,ORIGINAL
AI179,c9d4324c50c5e70095cd3e0446bcbd2d,1d96baf00ff457518c392cdbc36d081e,20260420,278.0,False,False,ORIGINAL
SJ153,8ff2523fe27e0b381e5ec1a14e29a704,fe10005e6631d2c82bc640a5b707027e,20260420,83.0,False,False,ORIGINAL
6F236,04f5fd88e0d3bf5692833a97649697b6,143c0deac2b49915503dd16a9f5462ba,20260420,199.0,False,False,ORIGINAL
UK059,89b74decd3097ce93ec4cccfa8379efc,d813685481e1e769c9968895601aa06a,20260420,97.0,False,False,ORIGINAL
SJ001,127ab6733de551c1aea35612b818c8d5,fe10005e6631d2c82bc640a5b707027e,20260420,287.0,False,False,ORIGINAL
SJ049,671c750b52cf4817ef2aa56f2ace75b0,fe10005e6631d2c82bc640a5b707027e,20260420,240.0,False,False,ORIGINAL
6F086,a51d75f60b5853f2ce43d68ddc769a90,143c0deac2b49915503dd16a9f5462ba,20260420,37.0,False,False,ORIGINAL
AI220,04f5fd88e0d3bf5692833a97649697b6,1d96baf00ff457518c392cdbc36d081e,20260420,98.0,False,False,ORIGINAL
AI188,27d0f59c48e41aa01667e01a8c02ec7b,1d96baf00ff457518c392cdbc36d081e,20260420,166.0,False,False,ORIGINAL
6F114,127ab6733de551c1aea35612b818c8d5,143c0deac2b49915503dd16a9f5462ba,20260420,50.0,False,False,ORIGINAL
SJ179,96cabcf3c0a98d19c08ef1c8eeba1154,fe10005e6631d2c82bc640a5b707027e,20260420,210.0,False,False,ORIGINAL
6F190,317ae26badc5745d08250ee7a733dd0c,143c0deac2b49915503dd16a9f5462ba,20260420,274.0,False,False,ORIGINAL
